dataset_id,dataset_name,country,basin,product,domain,migration,file_name,format,size_bytes,size_human,size_method,n_files,dims,sample_rate_ms,has_labels,label_type,label_format,label_source,ancillary,license,license_spdx,commercial_ok,redistribution_ok,attribution_required,share_alike,ml_training_ok,usage_basis,access,url,verified,ml_ready,notes
scan-2d,SCAN programme regional 2D (TNO + EBN),NL,onshore Netherlands (geothermal screening),report,post-stack,time,Lines11-46_Processingreport+appendices.zip,ZIP,6630588531,6.63 GB,HEAD,1,,,no,,,,velocity models and processing reports ship inside the zips,"No explicit licence text is published on the NLOG SCAN page - free download, terms unstated",,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.nlog.nl/sites/default/files/big_files/Lines11-46_Processingreport+appendices.zip,yes,3,Processing report and appendices covering lines 11-46. 6.6 GB of PROCESSING DOCUMENTATION is itself unusual and valuable - it makes the velocity models reproducible. Content-Length re-verified by HEAD this pass (HTTP 200).
scan-2d,SCAN programme regional 2D (TNO + EBN),NL,onshore Netherlands (geothermal screening),full stack,post-stack,time,L2EBN2019ASCAN001.zip,ZIP,1631823851,1.63 GB,HEAD,1,,,no,,,,velocity models and processing reports ship inside the zips,"No explicit licence text is published on the NLOG SCAN page - free download, terms unstated",,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.nlog.nl/sites/default/files/big_files/L2EBN2019ASCAN001.zip,yes,3,Newly acquired long-offset 2D line SCAN001 (2019 campaign) - the first line of the programme. Content-Length re-verified by HEAD this pass (HTTP 200).
mgds-costa,MGDS academic MCS - Costa Rica / CRISP,MULTI,Costa Rica / CRISP,project bundle,post-stack,PSDM,(regional query result),SEG-Y,1471138933258,1.47 TB,api,676,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: IG2402, FM3502, EW0104, IG2903, MGL0807, EW0005, EW0412, IG2403. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-enam,MGDS academic MCS - ENAM (Eastern North American Margin),MULTI,ENAM (Eastern North American Margin),project bundle,post-stack,PSDM,(regional query result),SEG-Y,1421188420406,1.42 TB,api,1510,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: FM0802, FM1001, IG1502, EW0008, MGL1408, EW9009, EN555, IG1501. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-alaska,MGDS academic MCS - Alaska / Aleutians,MULTI,Alaska / Aleutians,project bundle,post-stack,PSDM,(regional query result),SEG-Y,1082521648939,1.08 TB,api,462,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: AG1608, EW0408, EW9409, MGL0814, EW9410, MGL1109, MGL1110, GT8907. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-nankai,MGDS academic MCS - Nankai Trough,MULTI,Nankai Trough,project bundle,post-stack,PSDM,(regional query result),SEG-Y,959941013108,959.94 GB,api,156,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: EW9907, EW9908, FM3506, KUMANO3D. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-gulf,MGDS academic MCS - Gulf of Mexico,MULTI,Gulf of Mexico,project bundle,post-stack,PSDM,(regional query result),SEG-Y,884687535656,884.69 GB,api,2600,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: FM0301, FM0702, EW0501, FM0901, FM1501, IG2801, MNT1301, FM1801. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-cascadia,MGDS academic MCS - Cascadia,MULTI,Cascadia,project bundle,post-stack,PSDM,(regional query result),SEG-Y,384224603853,384.22 GB,api,722,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: TN112, EW0208, GT8909, MGL2104 (CASIE21), RR1718, W0709A, MGL1212, MGL1211. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-gulf,MGDS academic MCS - Gulf of Corinth,MULTI,Gulf of Corinth,project bundle,post-stack,PSDM,(regional query result),SEG-Y,110891215704,110.89 GB,api,163,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: EW0108. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
mgds-mid-atlantic,MGDS academic MCS - Mid-Atlantic Ridge,MULTI,Mid-Atlantic Ridge,project bundle,post-stack,PSDM,(regional query result),SEG-Y,90584526712,90.58 GB,api,64,,,no,,,,"navigation, velocity models and shot data are separate data_type queries",MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/services/FileServer?data_type=Seismic:Reflection:MCS&file_format=SEGY&format=full_info,yes,2,"RE-MEASURED THIS PASS by summing the exact data_file_size field over every file the FileServer API returns for this bounding box - these are exact byte totals, not the rounded GB previously recorded. Principal cruises by file count: EW0102, FM1002, RC3001. Terms-acceptance download flow at https://www.marine-geo.org/services/download/download.php?data_uids=<uids>&data_set_uid=<uid> - there is NO anonymous direct-file URL. The FileDownloadServer endpoint the API advertises 301s to api.marine-geo.org then 404s (verified on three uids). A whole-globe bounding box returns count=0, so you must enumerate region by region. NC licence blocks commercial use; ml_ready 2 for that plus the accept-POST download flow."
kumano-3d,Kumano 3D - Nankai Trough (NanTroSEIZE site survey),JP,"Kumano Basin, central Nankai Trough",full stack,post-stack,depth,ar55.4495.kumano3d.2130_2750.3dmigration.segy,SEG-Y,27697960040,27.70 GB,api,1,"inlines 2130-2750, CMPs 3720-7230; 136.460-136.818 E, 33.012-33.476 N; survey ~12 km strike x 56 km dip",,no,,,,MGDS entry Nankai:Moore carries the survey map Nankai_3D_survey.pdf (305 KB) and science report 2006020_NOR_Jamstec.pdf (9.0 MB),MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/tools/files/28541,yes,2,"Exact size re-confirmed this pass from the MGDS FileServer API (data_uid=1464342, data_set_uid=28541). Access status PUBLIC, release date 2020-05-24. This answers 'is the Nankai 3D open?' - yes, but via MGDS rather than JAMSTEC's own portal. Acquired Apr-May 2006 by M/V Nordic Explorer (PGS) for JAMSTEC, the first 3D site survey run with a commercial vessel. Subduction-zone imaging with IODP borehole ties. NC licence."
casie21,CASIE21 - Cascadia Seismic Imaging Experiment 2021 (MGL2104),US,Cascadia subduction zone,full stack,post-stack,PSDM,MGL2104{PDnn|PSnn|TDnn}_psdm_kir_stk_20220802.sgy,SEG-Y,10337499324,10.34 GB,api,39,"18 primary margin-crossing lines + 6 margin-parallel lines, ~42-50 N",,no,,,,navigation (P1) DOI 10.26022/IEDA/330901; SHOT DATA (SEG-D) DOI 10.26022/IEDA/330905; interpretation NetCDF grids DOI 10.60521/331666; documents bundle 71.4 MB incl. a 61.0 MB PSDM processing report,MGDS site licence CC BY-NC-SA 3.0 (US); cite the contributing scientists and MGDS; a Business Use Licence may be required for marine seismic data (techventures@columbia.edu),CC-BY-NC-SA-3.0,no,unclear,yes,unclear,unclear,licence-text,open-request,https://www.marine-geo.org/tools/files/31274,yes,2,"Exact 10,337,499,324 B re-summed this pass from the MGDS API over the 39 psdm files (data_uid 2839302-2839342, data_set_uid 31274, DOI 10.26022/IEDA/331274). Individual lines run 51 MB to 788 MB; largest is MGL2104PS01ACD_psdm_kir_stk_20220802.sgy at 788,107,320 B. PD = margin-perpendicular dip, PS = strike, TD = tie. R/V Marcus G. Langseth, June 2021. The best open academic PRE-STACK + PSDM PAIR, because the SEG-D shots are released separately. NC licence."
mobil-avo-viking-graben,Mobil AVO Viking Graben Line 12,NO,"North Viking Graben, North Sea",pre-stack gather (shot),pre-stack,unmigrated,seismic.segy,SEG-Y,749552400,749.55 MB,HEAD,1,"120,120 traces x 1500 samples (6.000 s); 1001 shots x 120 channels",4,no,,,,two well logs; a basic Seismic Unix script,"Public domain - Keys & Foster: 'Since the workshop data set is in the public domain, readers can apply their own methods to the data.'",,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/Mobil_Avo_Viking_Graben_Line_12/seismic.segy,yes,4,"THE reference open pre-stack AVO / seismic-inversion line, from the 1994 SEG inversion workshop (Keys & Foster, Comparison of Seismic Inversion Methods on a Single Real Data Set). Geometry read from the SEG-Y binary header via range request; 1001 x 120 = 120,120 traces confirms the shot/channel split arithmetically. Public domain and only 715 MiB - the cheapest genuinely useful pre-stack marine data there is. Landing page: .../Mobil_Avo_Viking_Graben_Line_12/mobil_avo.html"
blake-ridge-3d,Blake Ridge Hydrates 3D,US,offshore South Carolina (348.93 km2 / 164 blocks),project bundle,pre-stack,PSTM,Blake_Ridge_Hydrates_3D.zip,ZIP (OpendTect project),,914 MB download / 1.94 GB uncompressed,published,1,,,no,,,,PSTM stack + CONDITIONED PSTM ANGLE GATHERS; detailed and background steering cubes,CC BY-SA 3.0 on dGB derived attributes; original seismic released under NSF award 99190966,CC-BY-SA-3.0,yes,yes,yes,yes,yes,spdx,open-registration,https://terranubis.com/datainfo/Blake-Ridge-Hydrates-3D,yes,3,"size_bytes EMPTY - TerraNubis downloads are session-gated. The classic gas-hydrate BSR dataset, and it ships ANGLE GATHERS, so you can do AVO on a bottom-simulating reflector. Small enough to iterate on quickly. Direct link form: https://terranubis.com/download/Blake_Ridge_Hydrates_3D.zip/2"
usgs-npra-alaska31-81,USGS NPRA Alaska 2D line 31-81,US,National Petroleum Reserve Alaska,pre-stack gather (shot),pre-stack,unmigrated,alaska31-81.tar.gz,TAR.GZ (SEG-Y + scripts),38138509,38.14 MB,HEAD,1,,,no,,,,"unprocessed prestack data, final stack, images of previous stack, Seismic Unix processing scripts, observer's and surveyor's logs via USGS",Public domain; credit USGS,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/alaska/alaska31-81.tar.gz,yes,4,"The best hello-world for a COMPLETE 2D land processing sequence: download, reformat, header load, gain, prestack f-k filter, brute velocities, brute stack, residual statics, final velocity analysis, final stack, then phase-shift AND Kirchhoff migration. Short line, small statics. Ships Seismic Unix scripts PLUS su 43R1 Linux executables, so it runs even without su installed. Content-Length re-verified by HEAD this pass."
usgs-npra-alaska16-81,USGS NPRA Alaska 2D line 16-81,US,National Petroleum Reserve Alaska,pre-stack gather (shot),pre-stack,unmigrated,alaska16-81.tar.gz,TAR.GZ (SEG-Y + scripts),5480496,5.48 MB,HEAD,1,,,no,,,,"unprocessed prestack data, final stack, images of previous stack, Seismic Unix processing scripts, observer's and surveyor's logs via USGS",Public domain; credit USGS,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/alaska/alaska16-81.tar.gz,yes,4,"Sister line to 31-81, which it crosses. Weaker ground roll and fewer noise bursts, but a LARGER STATICS PROBLEM and more structure between 1 and 2 s. Use the pair for statics experiments. Ships Seismic Unix scripts and a research poster (R. Zavala, U. Houston). Content-Length re-verified by HEAD this pass."
namss,NAMSS - USGS National Archive of Marine Seismic Surveys,US,"US EEZ: Gulf of Mexico, Atlantic, Pacific, Alaska",project bundle,post-stack,time,"(per-survey, selected from the map UI)",SEG-Y; PDF images,,,,1,,,no,,,,navigation,"Public domain, no restrictions on usage or publication (BOEM G&G data releasable after the 25-year proprietary term, 30 CFR 551 & 580)",,yes,yes,no,no,yes,licence-text,open-download,https://walrus.wr.usgs.gov/namss/,yes,3,"SIZE EMPTY - there is NO file-listing API, so per-survey sizes must be harvested from the map UI and none were verified. Archive-scale: >300,000 km transferred by WesternGeco and Chevron alone in 2005, plus USGS OCS/EEZ 1975-mid-1990s, BP North Slope, PG&E Diablo Canyon and BOEM releases since 2011. The only machine-readable index is a WMS: https://walrus.wr.usgs.gov/namss/wms?request=GetCapabilities&service=WMS&version=1.1.1 (EPSG:3857; a FILTERS parameter supports identifier, data-type, year with .. ranges, and contributor, OR-able). Cite doi:10.5066/F7930R7P and doi:10.1029/2023CN000229. Public domain and no account - the easiest large US archive to script against. Named 3D volumes were NOT verified; do not invent survey names."
unicamp-namss,Unicamp-NAMSS 2D seismic image dataset,US,US EEZ (122 survey areas via NAMSS),project bundle,post-stack,time,train.tar.gz; test.tar.gz; validation.tar.gz,TAR.GZ (images),18825400771,18.83 GB,api,3,"2,588 cleaned and standardised migrated 2D sections from 122 survey areas",,no,,,,pre-split train/test/validation partitions,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18330487,yes,4,"Bytes = train.tar.gz 15,319,027,087 + test.tar.gz 1,903,463,252 + validation.tar.gz 1,602,910,432, from the Zenodo REST API. This is the practical answer to the NAMSS access problem: someone already did the harvesting, cleaning and standardisation and released it CC BY 4.0 with splits. Unlabelled, so it is a pretraining/self-supervision corpus (ml_ready 4), not a supervised benchmark. DOI 10.5281/zenodo.18330487."
noaa-deep-sea-minerals,NOAA deep-sea minerals survey (OPR-T900-KR-26),US,Pacific deep-sea minerals survey area,pre-stack gather (shot),pre-stack,unmigrated,**/Raw/SBP/SEGY/*.sgy,SEG-Y,529731962688,529.73 GB,listing,7863,,,no,,,,"co-located multibeam (.all, .kmall, .gsf), side-scan (.xtf, .jsf), imagery (.tif, .jpg) and navigation in the same survey tree","US Government work - NOAA data are conventionally public domain; NO explicit licence file was found in the bucket, so treat the terms as unstated-but-open",,yes,yes,no,no,yes,licence-text,open-download,https://storage.googleapis.com/storage/v1/b/noaa-deep-sea-minerals/o (bucket gs://noaa-deep-sea-minerals),yes,3,"RAW sub-bottom-profiler SEG-Y. MEASURED THIS PASS by GCS matchGlob sweep (**.sgy) with the /Raw/ path split. IMPORTANT CAVEAT: this is SBP (chirp sub-bottom profiler) data - shallow, very high frequency, single-channel - NOT exploration-scale multichannel reflection seismic. Do not treat it as a substitute for a 3D survey. Its value is volume: ~530 GB of raw traces for self-supervised pretraining. Bucket is anonymously listable."
noaa-deep-sea-minerals,NOAA deep-sea minerals survey (OPR-T900-KR-26),US,Pacific deep-sea minerals survey area,full stack,post-stack,time,**/Processed/SBP/*_proc.sgy,SEG-Y,542191090772,542.19 GB,listing,8040,,,no,,,,each processed file pairs with a raw counterpart of the same base name,"US Government work - NOAA data are conventionally public domain; NO explicit licence file was found in the bucket, so treat the terms as unstated-but-open",,yes,yes,no,no,yes,licence-text,open-download,https://storage.googleapis.com/storage/v1/b/noaa-deep-sea-minerals/o (bucket gs://noaa-deep-sea-minerals),yes,3,"PROCESSED sub-bottom-profiler SEG-Y. MEASURED THIS PASS by matchGlob sweep with the /Processed/ path split. The raw/processed PAIRING is the interesting property here: 7,863 raw and 8,040 processed files under matching names give you a large supervised RAW-TO-PROCESSED denoising corpus, which is rare. Largest single file 1,698,380,120 B (SBP-0316-07gh004a-20260426-190058_0_proc.sgy). Still SBP, not exploration seismic."
noaa-deep-sea-minerals,NOAA deep-sea minerals survey (OPR-T900-KR-26),US,Pacific deep-sea minerals survey area,project bundle,pre-stack,unmigrated,**/*.sgy,SEG-Y,1071923053460,1.07 TB,listing,15903,,,no,,,,raw + processed SBP together,"US Government work - NOAA data are conventionally public domain; NO explicit licence file was found in the bucket, so treat the terms as unstated-but-open",,yes,yes,no,no,yes,licence-text,open-download,https://storage.googleapis.com/storage/v1/b/noaa-deep-sea-minerals/o (bucket gs://noaa-deep-sea-minerals),yes,3,"ROLLUP of the two rows above - every .sgy object in the bucket: 15,903 files, 1,071,923,053,460 bytes exactly, measured this pass by exhaustive GCS matchGlob pagination. Do not double-count with the Raw and Processed rows. A further 149 .seg files add 8,072,646,584 B, giving 16,052 SEG-Y-family files / 1,079,995,700,044 B. Globs **.segy, **.SEGY and **.SGY all return ZERO objects - the extension is lowercase .sgy only, which matters if you script the pull. All SEG-Y sits under the single survey prefix OPR-T900-KR-26/."
noaa-deep-sea-minerals,NOAA deep-sea minerals survey (OPR-T900-KR-26),US,Pacific deep-sea minerals survey area,project bundle,non-seismic,n/a,(whole bucket),SEG-Y; XTF; GeoTIFF; JPEG; KMALL; GSF; JSF; CSV,24909686375972,24.91 TB,listing,4535052,,,no,,,,"side-scan/sonar .xtf 420,934 files 8.09 TB; imagery .tif 15,350 files 7.02 TB and .jpg 2,274,628 files 3.75 TB; multibeam .all 7,230 files 895.40 GB, .kmall 1,966 files 109.27 GB, .gsf 1,966 files 5.86 GB; .hcg 125,982 files 483.78 GB; .jsf 8,638 files 339.14 GB","US Government work - NOAA data are conventionally public domain; NO explicit licence file was found in the bucket, so treat the terms as unstated-but-open",,yes,yes,no,no,yes,licence-text,open-download,https://storage.googleapis.com/storage/v1/b/noaa-deep-sea-minerals/o (bucket gs://noaa-deep-sea-minerals),yes,2,"WHOLE-BUCKET ROLLUP - 4,535,052 objects, 24,909,686,375,972 bytes, measured this pass by exhaustive ListObjects pagination (4,535 pages). SEG-Y is only 4.3 percent of it; the bulk is side-scan, imagery and multibeam. ml_ready 2 for the whole bucket because 24.91 TB of mostly-non-seismic data is awkward bulk access - pull the .sgy glob instead. Do not double-count with the SEG-Y rows above."
teal-south,Teal South - phase 2 P-S CCP gathers (c1+c2),US,"Gulf of Mexico, Eugene Island Block 354",pre-stack gather (CDP),pre-stack,unmigrated,TS-103687-phase2-c1.zip; TS-103688-phase2-c2.zip,"SEG-Y (big-endian), zipped",4422374511,4.42 GB,HEAD,2,,,no,,,,,Open download; no licence stated by the host (Energy Research Clearing House / Texaco origin),,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.seismicrocks.com/tealsouth.html,yes,3,"1999 vintage converted-wave CCP gathers, both horizontal components. Host warns the P-S amplitudes seem unreliable - do not use for quantitative AVO without your own QC."
teal-south,Teal South - phase 2 P-Z CMP gathers,US,"Gulf of Mexico, Eugene Island Block 354",pre-stack gather (CDP),pre-stack,unmigrated,TS-104546-phase2-pz-1.zip; TS-104547-phase2-pz-2.zip,"SEG-Y (big-endian), zipped",3503674124,3.50 GB,HEAD,2,,,no,,,,,Open download; no licence stated by the host (Energy Research Clearing House / Texaco origin),,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.seismicrocks.com/tealsouth.html,yes,3,"April 1999 monitor survey, P-Z (hydrophone + vertical geophone summed). Pairs with the 1997 baseline below for 4D work."
teal-south,Teal South - phase 1 P-Z CMP gathers (1997 baseline),US,"Gulf of Mexico, Eugene Island Block 354",pre-stack gather (CDP),pre-stack,unmigrated,TS-104544-phase1-pz.zip,"SEG-Y (big-endian), zipped",1933763193,1.93 GB,HEAD,1,,,no,,,,,Open download; no licence stated by the host (Energy Research Clearing House / Texaco origin),,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.seismicrocks.com/tealsouth.html,yes,3,"July 1997 BASELINE survey. This plus the phase-2 P-Z rows is the 4D pair - a genuine open time-lapse pre-stack dataset, which is rare."
teal-south,Teal South - phase 1 P-S CCP gathers (c1+c2),US,"Gulf of Mexico, Eugene Island Block 354",pre-stack gather (CDP),pre-stack,unmigrated,TS-103685-phase1-c1.zip; TS-103686-phase1-c2.zip,"SEG-Y (big-endian), zipped",2416935870,2.42 GB,HEAD,2,,,no,,,,,Open download; no licence stated by the host (Energy Research Clearing House / Texaco origin),,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.seismicrocks.com/tealsouth.html,yes,3,"1997 baseline converted-wave CCP gathers, both horizontal components."
teal-south,Teal South - stacks and migrations (all vintages),US,"Gulf of Mexico, Eugene Island Block 354",full stack,post-stack,time,TS-1037*.sgy; TS-10454*.sgy,SEG-Y (big-endian),2529417620,2.53 GB,HEAD,19,,,no,,,,,Open download; no licence stated by the host (Energy Research Clearing House / Texaco origin),,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.seismicrocks.com/tealsouth.html,yes,4,"ROLLUP of 19 unzipped .sgy volumes - final stacks, final migrations and MATCHED migrations for both phases, P-Z, c1, c2 and radial. The matched pairs are the ones to use for 4D difference work, because they were processed to be comparable across vintages. Do not double-count with the gather rows."
teal-south,"Teal South - wells, VSP and survey records",US,"Gulf of Mexico, Eugene Island Block 354",well logs,ancillary,,TealSouth_WellLogs.zip; TealSouth_ApacheWellLogs.zip; TealSouth_VSP.zip; TealSouth_DirectionalSurveysWithSideTracks.zip; TealSouth_Bits.zip; TealSouth_Phase2-Tape-LogsAndNotes.zip,"mixed (LAS, SEG-Y, documents), zipped",19310938,19.31 MB,HEAD,6,,,no,,,,well logs; VSP; directional surveys with sidetracks; bit records; tape logs and observer notes,Open download; no licence stated by the host (Energy Research Clearing House / Texaco origin),,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.seismicrocks.com/tealsouth.html,yes,3,Tiny but disproportionately valuable - a VSP AND directional surveys AND observer notes alongside a 4D/4C survey is a combination almost no open dataset offers. Plus 32.75 MB of reference papers under tealsouth/refs/.
oz-yilmaz-40,Oz Yilmaz 40 shot gathers - SEG-Y,MULTI,various worldwide,pre-stack gather (shot),pre-stack,unmigrated,oz.forty.sgy.tgz,"SEG-Y little-endian, tar.gz",15455217,15.46 MB,HEAD,1,40 shot records,,no,,,,,No formal licence; acknowledge Oz Yilmaz and SEG (originally released by Western Geophysical),,unclear,unclear,yes,unclear,unclear,licence-text,open-download,https://www.seismicrocks.com/oz40.html,yes,4,"The teaching set behind Yilmaz's Seismic Data Analysis. Both SEG wiki-listed routes to this data are broken (cwp.mines.edu 403 / www host DNS failure; Stanford SEP data-library path now redirects to a DokuWiki home page). seismicrocks.com is the live host. Tiny, diverse and fully pre-stack - an unusually good smoke-test corpus for processing code."
oz-yilmaz-40,Oz Yilmaz 40 shot gathers - Seismic Unix,MULTI,various worldwide,pre-stack gather (shot),pre-stack,unmigrated,oz.forty.su.tgz,"Seismic Unix (.su) little-endian, tar.gz",15618506,15.62 MB,HEAD,1,40 shot records,,no,,,,,No formal licence; acknowledge Oz Yilmaz and SEG (originally released by Western Geophysical),,unclear,unclear,yes,unclear,unclear,licence-text,open-download,https://www.seismicrocks.com/oz40.html,yes,4,Same 40 records in SU format. Big-endian copies are on the Seismic Unix wiki via nextcloud.seismic-unix.org; a Madagascar SConstruct for RSF conversion is in github.com/ahay/src under book/data/oz/gathers.
